subject,object,predicat
compound/compound_718,has_side_effect,sideeffect_1102
compound/compound_718,has_side_effect,sideeffect_1169
compound/compound_718,has_side_effect,sideeffect_118
compound/compound_718,has_side_effect,sideeffect_1182
compound/compound_718,has_side_effect,sideeffect_1207
compound/compound_718,has_side_effect,sideeffect_1226
compound/compound_718,has_side_effect,sideeffect_123
compound/compound_718,has_side_effect,sideeffect_1294
compound/compound_718,has_side_effect,sideeffect_1298
compound/compound_718,has_side_effect,sideeffect_1300
compound/compound_718,has_side_effect,sideeffect_1313
compound/compound_718,has_side_effect,sideeffect_1315
compound/compound_718,has_side_effect,sideeffect_1329
compound/compound_718,has_side_effect,sideeffect_1352
compound/compound_718,has_side_effect,sideeffect_1363
compound/compound_718,has_side_effect,sideeffect_137
compound/compound_718,has_side_effect,sideeffect_1382
compound/compound_718,has_side_effect,sideeffect_142
compound/compound_718,has_side_effect,sideeffect_1420
compound/compound_718,has_side_effect,sideeffect_1467
compound/compound_718,has_side_effect,sideeffect_1481
compound/compound_718,has_side_effect,sideeffect_154
